seed,summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower
99,fixed-config,clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.16666666666666666,0.16666666666666666,2,0.9806859313166619
99,fixed-config,clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.16666666666666666,0.16666666666666666,2,0.9802663301886717
99,fixed-config,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.8333333333333334,0.16666666666666666,0.16666666666666666,5,0.9811771485586083
99,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.75,0.75,0.0,0,0.9649369073870524
99,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.75,0.75,0.0,0,0.9521368869055425
99,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.75,0.75,0.0,0,0.9273527735792307
99,fixed-config,clean-training,clean-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.16666666666666666,0.16666666666666666,2,0.9797751129467253
99,fixed-config,clean-training,clean-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.16666666666666666,0.16666666666666666,2,0.9806859313166619
99,fixed-config,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.16666666666666666,0.16666666666666666,5,0.9811771485586083
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.8181818181818182,0.8181818181818182,0.0,0,0.9633335547315436
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.8181818181818182,0.8181818181818182,0.0,0,0.9548320648887362
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.8181818181818182,0.8181818181818182,0.0,0,0.922051756701418
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.0,0.0,0,0.8830851488886136
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.0,0.0,0,0.8799355559223181
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.8181818181818182,0.0,0.0,0,0.9486744456220119
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.8181818181818182,0.8181818181818182,0.0,0,0.9628250678586117
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.8181818181818182,0.8181818181818182,0.0,0,0.9547963028154627
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.8181818181818182,0.8181818181818182,0.0,0,0.9291585651237392
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.0,0.0,0,0.8754502222694982
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.0,0.0,0,0.8926060982622214
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.8181818181818182,0.0,0.0,0,0.9494537556868196
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.7272727272727273,0.7272727272727273,0.0,0,0.9711579300986991
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.7272727272727273,0.7272727272727273,0.0,0,0.9617488973032259
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.7272727272727273,0.7272727272727273,0.0,0,0.9488405055042247
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.7272727272727273,0.0,0.0,0,0.8901573131394777
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.7272727272727273,0.0,0.0,0,0.8859064676367004
99,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.7272727272727273,0.0,0.0,0,0.9457966647264408
