epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
110,0.36491858959198,0.9857142857142858,0.794,0.821,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
111,0.35045990347862244,0.9928571428571429,0.794,0.822,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
112,0.345838338136673,1.0,0.792,0.82,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
113,0.3244342505931854,1.0,0.792,0.82,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
114,0.3157559037208557,1.0,0.788,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
115,0.35733991861343384,1.0,0.79,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
116,0.32771041989326477,1.0,0.792,0.811,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
117,0.3389793634414673,1.0,0.792,0.811,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
118,0.31942853331565857,1.0,0.794,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
119,0.3370307385921478,1.0,0.792,0.822,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
120,0.3358727693557739,1.0,0.8,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
121,0.3175337612628937,0.9857142857142858,0.796,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
122,0.3162492513656616,0.9857142857142858,0.796,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
123,0.3402270972728729,1.0,0.798,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
124,0.2814330458641052,1.0,0.798,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
125,0.3217756450176239,1.0,0.794,0.822,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
126,0.3228881359100342,1.0,0.794,0.825,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
127,0.33117279410362244,1.0,0.794,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
128,0.31258687376976013,1.0,0.792,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
129,0.3099074065685272,1.0,0.788,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
130,0.28630682826042175,1.0,0.79,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
131,0.30399370193481445,1.0,0.79,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
132,0.2762446403503418,1.0,0.79,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
