seed,summary_type,config_branch,model_variant,attack_variant,threshold,config_label,mode,purification_operator,purification_threshold,certificate_report_strategy,adaptive_profile,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_purified_confidence,mean_purified_margin,mean_target_degree,mean_resolved_p_delete,mean_resolved_p_add,mean_resolved_max_additions,failure_reason_counts
7,fixed-config,ablation,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.05,rest,,0.02,1e-05,96,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.954234356628641,0.9084687132572821,0.34251102308432263,0.19378500059247017,1.4166666666666667,0.019999999999999997,1e-05,96.0,prediction-incorrect:3; zero-radius:9
7,fixed-config,ablation,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.05,rest,,0.05,2e-05,160,12,0.75,0.75,0.0,0.0,0.5833333333333334,0.16666666666666666,1,0.9305735551327659,0.8611471102655316,0.34251102556784946,0.19378500431776047,1.4166666666666667,0.049999999999999996,2e-05,160.0,positive-radius:2; prediction-incorrect:3; zero-radius:7
7,fixed-config,ablation,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.01,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.01,rest,,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9700611616562725,0.9401223233125452,0.2856815146903197,0.13097226433455944,2.1666666666666665,0.009999999999999998,5e-06,64.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.01,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.01,rest,,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.957968476847671,0.9159369536953424,0.28568151965737343,0.13097226805984974,2.1666666666666665,0.019999999999999997,1e-05,96.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.01,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.01,rest,,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1,0.9414166873034655,0.8828333746069313,0.28568151965737343,0.13097226557632288,2.1666666666666665,0.049999999999999996,2e-05,160.0,positive-radius:4; prediction-incorrect:4; zero-radius:4
7,fixed-config,ablation,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.02,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.02,rest,,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9740411477360769,0.9480822954721536,0.2856815221409003,0.13097226930161318,2.1666666666666665,0.009999999999999998,5e-06,64.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.02,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.02,rest,,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9630013628990297,0.9260027257980598,0.2856815146903197,0.13097226433455944,2.1666666666666665,0.019999999999999997,1e-05,96.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.02,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.02,rest,,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4166666666666667,0.25,1,0.9412559949441829,0.8825119898883659,0.28568151717384654,0.13097226557632288,2.1666666666666665,0.049999999999999996,2e-05,160.0,positive-radius:3; prediction-incorrect:4; zero-radius:5
7,fixed-config,ablation,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.05,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.05,rest,,0.01,5e-06,64,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9665130845704629,0.933026169140926,0.34251102556784946,0.19378500431776047,1.4166666666666667,0.009999999999999998,5e-06,64.0,prediction-incorrect:3; zero-radius:9
7,fixed-config,ablation,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.05,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.05,rest,,0.02,1e-05,96,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9558615819637816,0.911723163927563,0.34251102556784946,0.19378500431776047,1.4166666666666667,0.019999999999999997,1e-05,96.0,prediction-incorrect:3; zero-radius:9
