epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
118,0.3780706524848938,1.0,0.796,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
119,0.3439553678035736,1.0,0.792,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
120,0.35041293501853943,1.0,0.794,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
121,0.3384375274181366,1.0,0.794,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
122,0.38512319326400757,0.9928571428571429,0.794,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
123,0.3366408050060272,0.9928571428571429,0.792,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
124,0.3706735372543335,0.9928571428571429,0.794,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
125,0.3600741922855377,0.9928571428571429,0.79,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
126,0.37145206332206726,1.0,0.79,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
127,0.34475889801979065,1.0,0.786,0.811,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
128,0.3449662923812866,1.0,0.788,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
129,0.32136550545692444,1.0,0.784,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
130,0.35342520475387573,1.0,0.786,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
131,0.3197592794895172,1.0,0.782,0.803,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
132,0.3277561664581299,1.0,0.784,0.799,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
133,0.3422926962375641,0.9928571428571429,0.79,0.8,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
134,0.35204094648361206,0.9928571428571429,0.786,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
135,0.34863826632499695,0.9928571428571429,0.79,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
136,0.32331180572509766,0.9928571428571429,0.8,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
137,0.35077714920043945,0.9928571428571429,0.8,0.82,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
138,0.3352542817592621,1.0,0.802,0.82,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
139,0.3132384419441223,1.0,0.796,0.822,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
140,0.31999313831329346,1.0,0.79,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
141,0.3168341815471649,1.0,0.788,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
142,0.3116637170314789,1.0,0.792,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
143,0.32525599002838135,1.0,0.788,0.805,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
144,0.32363903522491455,1.0,0.784,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
145,0.30334416031837463,1.0,0.788,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
146,0.31254810094833374,1.0,0.79,0.804,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
147,0.31155455112457275,1.0,0.788,0.805,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
148,0.31417855620384216,1.0,0.79,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
149,0.3063403069972992,1.0,0.79,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
150,0.3121594786643982,1.0,0.792,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
151,0.2972899377346039,1.0,0.796,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
152,0.2993645966053009,1.0,0.798,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
153,0.2921878695487976,1.0,0.798,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
154,0.3182145655155182,1.0,0.796,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
155,0.31688952445983887,1.0,0.8,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
156,0.31587862968444824,1.0,0.794,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
