seed,summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower
21,fixed-config,clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9951986715050993
21,fixed-config,clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9953355570359279
21,fixed-config,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
21,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.7272727272727273,0.7272727272727273,0.2727272727272727,1,0.9834410679788693
21,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.7272727272727273,0.7272727272727273,0.36363636363636365,1,0.9741829898304304
21,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.7272727272727273,0.7272727272727273,0.36363636363636365,1,0.953887848391534
21,fixed-config,clean-training,clean-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.7272727272727273,0.09090909090909091,0.09090909090909091,4,0.9952694756709526
21,fixed-config,clean-training,clean-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.7272727272727273,0.09090909090909091,0.09090909090909091,4,0.9954710521458875
21,fixed-config,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.7272727272727273,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.45454545454545453,0.45454545454545453,0.09090909090909091,1,0.9860155841954356
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.45454545454545453,0.45454545454545453,0.18181818181818182,1,0.9772733621531057
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.45454545454545453,0.45454545454545453,0.18181818181818182,1,0.9565754609136438
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.45454545454545453,0.18181818181818182,0.18181818181818182,4,0.9143229179669127
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.45454545454545453,0.18181818181818182,0.18181818181818182,4,0.9173134980563229
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.45454545454545453,0.18181818181818182,0.18181818181818182,5,0.9674351367796125
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.45454545454545453,0.45454545454545453,0.09090909090909091,1,0.9848656728682279
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.45454545454545453,0.45454545454545453,0.18181818181818182,1,0.9765240122664367
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.45454545454545453,0.45454545454545453,0.18181818181818182,1,0.9537301027969836
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.45454545454545453,0.18181818181818182,0.18181818181818182,2,0.9140058009081219
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.45454545454545453,0.18181818181818182,0.18181818181818182,2,0.9139000256729577
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.45454545454545453,0.18181818181818182,0.18181818181818182,5,0.9668525738570996
